Entity,Code,Year,Animal Products | 00002941 || Food available for consumption | 0674pc || grams of protein per day per capita,Vegetal Products | 00002903 || Food available for consumption | 0674pc || grams of protein per day per capita
India,IND,1961,6.264769,47.211716
India,IND,1962,6.2117534,47.43241
India,IND,1963,6.141875,45.329487
India,IND,1964,6.0947113,45.227036
India,IND,1965,5.91276,44.061234
India,IND,1966,5.9526362,43.446117
India,IND,1967,5.780261,44.474483
India,IND,1968,6.0664415,46.052116
India,IND,1969,6.1429915,45.645275
India,IND,1970,5.919538,47.895367
India,IND,1971,6.2468114,44.022728
India,IND,1972,6.0881457,44.18487
India,IND,1973,6.1714177,45.95975
India,IND,1974,6.4665856,41.85459
India,IND,1975,6.341314,45.254383
India,IND,1976,6.4923596,42.24104
India,IND,1977,6.582416,46.20917
India,IND,1978,6.492969,46.7738
India,IND,1979,6.594675,44.015385
India,IND,1980,6.6809926,42.465485
India,IND,1981,7.001705,44.43898
India,IND,1982,7.3721848,43.5426
India,IND,1983,7.729678,48.143116
India,IND,1984,8.145162,46.662457
India,IND,1985,8.367287,44.54796
India,IND,1986,8.507875,45.732357
India,IND,1987,8.396088,46.06748
India,IND,1988,8.395354,48.023846
India,IND,1989,8.684425,49.74173
India,IND,1990,8.659054,44.79202
India,IND,1991,8.563395,47.469685
India,IND,1992,8.777702,48.042152
India,IND,1993,8.930204,46.508987
India,IND,1994,9.073791,46.236446
India,IND,1995,9.346028,46.85953
India,IND,1996,9.506207,46.408573
India,IND,1997,9.576139,46.165714
India,IND,1998,9.665286,45.8829
India,IND,1999,9.754283,46.55005
India,IND,2000,9.517,46.25499
India,IND,2001,9.622905,45.5589
India,IND,2002,9.44668,43.858883
India,IND,2003,9.509889,43.700436
India,IND,2004,9.708274,43.076187
India,IND,2005,9.878697,42.501827
India,IND,2006,10.293589,44.20589
India,IND,2007,10.7861185,45.66578
India,IND,2008,11.21244,45.540207
India,IND,2009,11.32332,44.691185
India,IND,2010,11.513385,48.877014
India,IND,2011,11.536942,49.11925
India,IND,2012,11.851065,48.869442
India,IND,2013,11.966463,50.51621
India,IND,2014,12.661276,50.95392
India,IND,2015,13.407722,49.726112
India,IND,2016,13.894905,51.137234
India,IND,2017,14.5513115,52.229347
India,IND,2018,15.42627,50.750336
India,IND,2019,16.350039,51.33036
India,IND,2020,17.820486,52.137367
India,IND,2021,18.622152,52.28336
India,IND,2022,18.353157,53.617867
