Entity,Year,Total | 00002901 || Food available for consumption | 0664pc || kilocalories per day per capita
India,1961,2064.293
India,1962,2099.9204
India,1963,2012.9435
India,1964,2029.8748
India,1965,1961.7765
India,1966,1969.6521
India,1967,2022.5834
India,1968,2042.4703
India,1969,2070.717
India,1970,2147.104
India,1971,2024.6182
India,1972,2020.8978
India,1973,2083.6172
India,1974,1973.5815
India,1975,2096.807
India,1976,1956.8663
India,1977,2142.5918
India,1978,2186.0342
India,1979,2060.836
India,1980,2027.6863
India,1981,2089.3333
India,1982,2060.353
India,1983,2239.7808
India,1984,2243.9717
India,1985,2183.3862
India,1986,2182.543
India,1987,2192.8723
India,1988,2293.8567
India,1989,2381.9275
India,1990,2214.99
India,1991,2303.2925
India,1992,2335.0488
India,1993,2266.514
India,1994,2285.3987
India,1995,2313.117
India,1996,2328.3752
India,1997,2348.434
India,1998,2335.6948
India,1999,2367.487
India,2000,2344.7683
India,2001,2293.1804
India,2002,2241.502
India,2003,2234.9707
India,2004,2205.626
India,2005,2215.8738
India,2006,2275.117
India,2007,2336.3435
India,2008,2360.1555
India,2009,2345.2676
India,2010,2357.5203
India,2011,2391.2083
India,2012,2385.4429
India,2013,2420.0154
India,2014,2449.4736
India,2015,2422.5842
India,2016,2472.9346
India,2017,2513.8113
India,2018,2525.8152
India,2019,2527.7341
India,2020,2540.7236
India,2021,2550.0308
India,2022,2573.6377
