Year,GDP_Agri_Share
1962,46.25
1963,44.39
1964,43.24
1965,43.9
1966,40.53
1967,39.56
1968,42.02
1969,40.89
1970,40.85
1971,41.66
1972,40.47
1973,38.56
1974,39.54
1975,38.49
1976,39.86
1977,37.09
1978,37.98
1979,36.83
1980,33.89
1981,35.69
1982,35.35
1983,34.25
1984,34.97
1985,34.17
1986,32.91
1987,31.42
1988,29.86
1989,31.35
1990,29.89
1991,29.53
1992,28.54
1993,28.89
1994,28.25
1995,27.8
1996,25.73
1997,26.19
1998,24.47
1999,24.39
2000,23.18
2001,22.26
2002,22.39
2003,20.13
2004,20.33
2005,19.03
2006,18.28
2007,17.37
2008,16.81
2009,15.77
2010,14.64
2011,14.59
2012,14.37
2013,13.95
