,"Infant Mortality Rate"
"1950",189.63
"1951",186.74
"1952",183.85
"1953",180.95
"1954",178.06
"1955",175.17
"1956",172.28
"1957",169.39
"1958",166.5
"1959",164.12
"1960",150.6
"1961",148.8
"1962",147
"1963",145.5
"1964",144
"1965",142.6
"1966",141.3
"1967",140
"1968",138.8
"1969",137.3
"1970",135.8
"1971",134
"1972",132.2
"1973",130
"1974",127.6
"1975",124.8
"1976",121.9
"1977",118.6
"1978",115.2
"1979",111.7
"1980",108.4
"1981",105.3
"1982",102.5
"1983",99.9
"1984",97.6
"1985",95.3
"1986",93.1
"1987",90.8
"1988",88.5
"1989",86.4
"1990",84.3
"1991",82.4
"1992",80.6
"1993",78.9
"1994",77.3
"1995",75.6
"1996",73.8
"1997",72
"1998",70.2
"1999",68.2
"2000",66.3
"2001",64.3
"2002",62.4
"2003",60.5
"2004",58.6
"2005",56.7
"2006",54.8
"2007",52.8
"2008",50.8
"2009",48.7
"2010",46.7
"2011",44.6
"2012",42.5
"2013",40.5
"2014",38.5
"2015",36.6
"2016",34.7
"2017",33
"2018",31.3
"2019",29.7
"2020",28.2
"2021",26.8
"2022",25.6
"2023",24.5
"2024",25.8
"2025",24.98
